Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-12-08 00:00:00-05:00,3.2799999713897705,3.9000000953674316,3.2799999713897705,3.690000057220459,219900,0.0,0.0
2023-12-11 00:00:00-05:00,4.039999961853027,4.039999961853027,3.4200000762939453,3.9800000190734863,1762400,0.0,0.0
2023-12-12 00:00:00-05:00,4.099999904632568,4.170000076293945,3.5399999618530273,3.6500000953674316,505200,0.0,0.0
2023-12-13 00:00:00-05:00,3.5,3.5,3.0999999046325684,3.5,327700,0.0,0.0
2023-12-14 00:00:00-05:00,3.4000000953674316,3.549999952316284,3.25,3.430000066757202,242900,0.0,0.0
2023-12-15 00:00:00-05:00,3.4600000381469727,3.4600000381469727,3.190000057220459,3.2799999713897705,180500,0.0,0.0
2023-12-18 00:00:00-05:00,3.0,3.2100000381469727,2.950000047683716,3.119999885559082,173600,0.0,0.0
2023-12-19 00:00:00-05:00,3.130000114440918,3.3499999046325684,3.130000114440918,3.2200000286102295,117400,0.0,0.0
2023-12-20 00:00:00-05:00,3.2300000190734863,3.4000000953674316,3.1600000858306885,3.299999952316284,213600,0.0,0.0
2023-12-21 00:00:00-05:00,3.4200000762939453,3.6500000953674316,3.369999885559082,3.430000066757202,513700,0.0,0.0
2023-12-22 00:00:00-05:00,3.5,3.7799999713897705,3.200000047683716,3.6700000762939453,542700,0.0,0.0
2023-12-26 00:00:00-05:00,3.5999999046325684,3.5999999046325684,3.3299999237060547,3.430000066757202,144700,0.0,0.0
2023-12-27 00:00:00-05:00,3.549999952316284,4.46999979019165,3.450000047683716,4.260000228881836,1014000,0.0,0.0
2023-12-28 00:00:00-05:00,4.260000228881836,4.590000152587891,3.9600000381469727,4.25,419400,0.0,0.0
2023-12-29 00:00:00-05:00,4.25,4.329999923706055,3.759999990463257,4.0,231400,0.0,0.0
2024-01-02 00:00:00-05:00,4.289999961853027,5.0,4.099999904632568,4.260000228881836,441900,0.0,0.0
2024-01-03 00:00:00-05:00,4.0,4.190000057220459,3.859999895095825,3.950000047683716,189300,0.0,0.0
2024-01-04 00:00:00-05:00,4.010000228881836,4.159999847412109,3.890000104904175,4.050000190734863,132900,0.0,0.0
2024-01-05 00:00:00-05:00,3.9600000381469727,4.130000114440918,3.640000104904175,3.819999933242798,99300,0.0,0.0
2024-01-08 00:00:00-05:00,3.819999933242798,4.289999961853027,3.799999952316284,4.239999771118164,146100,0.0,0.0
2024-01-09 00:00:00-05:00,4.190000057220459,4.28000020980835,4.03000020980835,4.079999923706055,62700,0.0,0.0
2024-01-10 00:00:00-05:00,4.079999923706055,4.210000038146973,3.869999885559082,3.940000057220459,124400,0.0,0.0
2024-01-11 00:00:00-05:00,4.119999885559082,4.119999885559082,3.5,3.950000047683716,200400,0.0,0.0
2024-01-12 00:00:00-05:00,3.9000000953674316,3.9000000953674316,3.4700000286102295,3.4800000190734863,84300,0.0,0.0
2024-01-16 00:00:00-05:00,3.4600000381469727,3.5299999713897705,3.2699999809265137,3.4100000858306885,57400,0.0,0.0
2024-01-17 00:00:00-05:00,3.309999942779541,3.390000104904175,3.2699999809265137,3.2699999809265137,36800,0.0,0.0
2024-01-18 00:00:00-05:00,3.369999885559082,3.549999952316284,3.2200000286102295,3.240000009536743,39100,0.0,0.0
2024-01-19 00:00:00-05:00,3.2300000190734863,3.2799999713897705,2.9600000381469727,3.200000047683716,75500,0.0,0.0
2024-01-22 00:00:00-05:00,3.2200000286102295,3.440000057220459,3.200000047683716,3.299999952316284,24000,0.0,0.0
2024-01-23 00:00:00-05:00,3.299999952316284,3.299999952316284,3.0299999713897705,3.1600000858306885,31600,0.0,0.0
2024-01-24 00:00:00-05:00,3.1700000762939453,3.3399999141693115,3.049999952316284,3.0799999237060547,28300,0.0,0.0
2024-01-25 00:00:00-05:00,3.109999895095825,3.2899999618530273,3.0899999141693115,3.2100000381469727,20400,0.0,0.0
2024-01-26 00:00:00-05:00,3.2300000190734863,3.390000104904175,3.1600000858306885,3.180000066757202,41200,0.0,0.0
2024-01-29 00:00:00-05:00,3.069999933242798,3.200000047683716,2.869999885559082,2.940000057220459,81500,0.0,0.0
2024-01-30 00:00:00-05:00,2.880000114440918,3.109999895095825,2.799999952316284,3.0199999809265137,88900,0.0,0.0
2024-01-31 00:00:00-05:00,2.9600000381469727,3.069999933242798,2.859999895095825,2.950000047683716,21000,0.0,0.0
2024-02-01 00:00:00-05:00,2.950000047683716,3.069999933242798,2.7799999713897705,2.930000066757202,18000,0.0,0.0
2024-02-02 00:00:00-05:00,2.799999952316284,3.0,2.799999952316284,2.8299999237060547,10800,0.0,0.0
2024-02-05 00:00:00-05:00,3.009999990463257,3.009999990463257,2.700000047683716,2.8399999141693115,22300,0.0,0.0
2024-02-06 00:00:00-05:00,2.869999885559082,2.9700000286102295,2.799999952316284,2.819999933242798,8500,0.0,0.0
2024-02-07 00:00:00-05:00,2.9200000762939453,2.9200000762939453,2.630000114440918,2.630000114440918,17600,0.0,0.0
